school_year,busbreakdown_id,run_type,bus_no,route_number,reason,schools_serviced,occurred_on,created_on,boro,bus_company_name,how_long_delayed,number_of_students_on_the_bus,has_contractor_notified_schools,has_contractor_notified_parents,have_you_alerted_opt,informed_on,incident_number,last_updated_on,breakdown_or_running_late,school_age_or_prek
2025-2026,2073781,Special Ed AM Run,57136,M805,Heavy Traffic,"01015,01461,01465",2026-03-27 06:20:00,2026-03-27 07:52:00,Manhattan,"CONSOLIDATED BUS TRANSIT, INC.",46-60 Min,0,No,Yes,No,2026-03-27 07:52:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2073904,Pre-K/EI,9448,LSC#1,Heavy Traffic,C530,2026-03-27 14:25:00,2026-03-27 14:28:00,Bronx,"G.V.C., LTD.",16-30 Min,0,Yes,Yes,No,2026-03-27 14:28:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2074021,Special Ed AM Run,9030,X326,Heavy Traffic,"12061,12190,12251,12511",2026-03-30 06:32:00,2026-03-30 06:34:00,Bronx,PIONEER TRANSPORTATION CORP,16-30 Min,0,No,No,No,2026-03-30 06:34:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2076136,General Ed AM Run,71802,K1428,Heavy Traffic,"14023,14588",2026-04-15 06:49:00,2026-04-15 06:51:00,Brooklyn,ALLIED TRANSIT CORP.,16-30 Min,6,Yes,Yes,No,2026-04-15 06:51:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2076254,Special Ed AM Run,11,Y601,Other,12568,2026-04-15 07:40:00,2026-04-15 07:42:00,Bronx,ALL AMERICAN SCHOOL BUS CORP.,0-15 Min,0,Yes,Yes,No,2026-04-15 07:42:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2076363,Special Ed PM Run,95,N227,Problem Run,"02347,02699",2026-04-15 13:00:00,2026-04-15 13:26:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,No,No,2026-04-15 13:26:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2076472,Special Ed AM Run,103,Y813,Heavy Traffic,"11111,11674,11689",2026-04-16 05:30:00,2026-04-16 05:50:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2026-04-16 05:50:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2042767,Special Ed AM Run,48,N516,Heavy Traffic,"02028,02650,02990",2025-12-19 06:33:00,2025-12-19 06:35:00,Nassau County,CAREFUL BUS,16-30 Min,1,No,No,No,2025-12-19 06:35:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2074293,Special Ed PM Run,1469,N238,Other,"03149,03406,03475,03491,03862",2026-03-30 14:20:00,2026-03-30 14:39:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,Yes,No,No,2026-03-30 14:39:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2049178,Special Ed AM Run,2487,N069,Heavy Traffic,04016,2026-01-21 07:21:00,2026-01-21 07:21:00,Nassau County,NYC SCHOOL BUS UMBRELLA SERVICES,31-45 Min,3,Yes,No,No,2026-01-21 07:21:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2074494,Special Ed AM Run,5591,Q717,Other,"30148,30227,30228",2026-03-31 07:28:00,2026-03-31 07:29:00,Queens,LITTLE RICHIE BUS SERVICE,31-45 Min,0,No,No,No,2026-03-31 07:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2074621,Special Ed PM Run,5121,Q935,Heavy Traffic,"24091,24128,24457",2026-03-31 13:21:00,2026-03-31 13:29:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,No,No,2026-03-31 13:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2074713,Pre-K/EI,PL1680,BX07,Other,S236,2026-04-01 06:23:00,2026-04-01 06:25:00,Bronx,PHILLIPS BUS SERVICE,31-45 Min,0,Yes,Yes,Yes,2026-04-01 06:25:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2043757,Special Ed AM Run,21510,K273,Heavy Traffic,"14297,14435",2025-12-23 07:12:00,2025-12-23 07:13:00,Brooklyn,ALLIED TRANSIT CORP.,16-30 Min,6,No,No,No,2025-12-23 07:13:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2074916,Special Ed AM Run,59202,M854,Heavy Traffic,"02003,02063,02721",2026-04-01 07:53:00,2026-04-01 07:55:00,Manhattan,"CONSOLIDATED BUS TRANSIT, INC.",31-45 Min,6,Yes,Yes,No,2026-04-01 07:55:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2034126,Special Ed AM Run,5020,X431,Heavy Traffic,"10023,10059,10391",2025-11-24 06:29:00,2025-11-24 06:30:00,Bronx,PIONEER TRANSPORTATION CORP,0-15 Min,0,Yes,No,No,2025-11-24 06:30:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2075134,Special Ed AM Run,74639,X212,Heavy Traffic,"11089,11326,11686",2026-04-13 06:39:00,2026-04-13 06:40:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,1,Yes,Yes,No,2026-04-13 06:40:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2075245,Special Ed AM Run,429,Y116,Heavy Traffic,11910,2026-04-13 06:30:00,2026-04-13 07:19:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),46-60 Min,0,No,No,No,2026-04-13 07:19:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2044726,Special Ed AM Run,20027,P623,Heavy Traffic,"26817,26918",2026-01-06 06:10:00,2026-01-06 06:16:00,Brooklyn,L & M BUS CORP (A),61-90 Min,0,Yes,Yes,No,2026-01-06 06:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2034839,Pre-K/EI,HF1425,BK-3,Mechanical Problem,S372,2025-11-25 08:06:00,2025-11-25 08:09:00,Bronx,CHILDREN`S TRANS INC,,1,No,No,No,2025-11-25 08:09:00,,1900-01-01 00:00:00,Breakdown,Pre-K
2025-2026,2034989,Special Ed AM Run,9024,Q912,Heavy Traffic,"25053,25294",2025-11-26 05:30:00,2025-11-26 05:36:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-11-26 05:36:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2075677,Special Ed AM Run,12597,X425,Heavy Traffic,"11180,11458",2026-04-14 06:56:00,2026-04-14 07:00:00,Bronx,HOYT TRANSPORTATION CORP.,16-30 Min,0,Yes,Yes,No,2026-04-14 07:00:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2075789,Special Ed AM Run,5000,X065,Heavy Traffic,"09086,09199,09455,09555",2026-04-14 07:51:00,2026-04-14 07:52:00,Bronx,PIONEER TRANSPORTATION CORP,31-45 Min,12,No,No,No,2026-04-14 07:52:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2075908,General Ed PM Run,4107,K9862,Late return from Field Trip,"17241,17933",2026-04-14 13:00:00,2026-04-14 13:08:00,Brooklyn,QUALITY TRANSPORTATION CORP.,46-60 Min,0,No,No,No,2026-04-14 13:08:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2031106,Special Ed AM Run,0037,Q853,Other,"26187,26433",2025-11-14 06:15:00,2025-11-14 06:21:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,No,No,No,2025-11-14 06:21:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2027384,Special Ed AM Run,2829,R515,Heavy Traffic,31133,2025-10-31 06:36:00,2025-10-31 06:37:00,Staten Island,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,0,Yes,No,No,2025-10-31 06:37:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2038225,Special Ed PM Run,1958,K512,Heavy Traffic,"32145,32162,32349,32368",2025-12-08 14:49:00,2025-12-08 14:50:00,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,0,Yes,No,Yes,2025-12-08 14:50:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2039508,Special Ed AM Run,1310,N081,Problem Run,"04016,04059,04877",2025-12-11 07:30:00,2025-12-11 07:50:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-12-11 07:50:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2050726,Special Ed AM Run,2508,N277,Weather Conditions,"04146,04657,04672,04678",2026-01-27 07:34:00,2026-01-27 07:35:00,Nassau County,HOYT TRANSPORTATION CORP.,16-30 Min,0,No,No,No,2026-01-27 07:35:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2051463,Special Ed AM Run,1915,X386,Weather Conditions,"09014,09455",2026-01-27 14:14:00,2026-01-27 14:15:00,Bronx,HOYT TRANSPORTATION CORP.,16-30 Min,2,Yes,Yes,No,2026-01-27 14:15:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2033347,General Ed AM Run,91601,Q2934,Heavy Traffic,29116,2025-11-20 07:34:00,2025-11-20 07:35:00,Queens,EMPIRE STATE BUS CORP.,16-30 Min,6,No,No,No,2025-11-20 07:35:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2054379,Special Ed AM Run,2439,P592,Heavy Traffic,"24027,24061,24721",2026-01-30 08:03:00,2026-01-30 08:04:00,Queens,HOYT TRANSPORTATION CORP.,0-15 Min,4,Yes,Yes,No,2026-01-30 08:04:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2045309,Special Ed AM Run,1909,R701,Heavy Traffic,"31099,31233",2026-01-07 07:08:00,2026-01-07 07:10:00,Staten Island,HOYT TRANSPORTATION CORP.,16-30 Min,1,Yes,No,No,2026-01-07 07:10:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2046711,Pre-K/EI,0009,OCF#1,Heavy Traffic,E219,2026-01-12 07:33:00,2026-01-12 07:34:00,Bronx,"G.V.C., LTD.",16-30 Min,8,Yes,Yes,No,2026-01-12 07:34:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2048107,Special Ed PM Run,2858,K626,Heavy Traffic,"21238,21445,21462,21668",2026-01-15 14:03:00,2026-01-15 14:04:00,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,0,Yes,No,Yes,2026-01-15 14:04:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2045374,Special Ed AM Run,1460,Q849,Other,26187,2026-01-07 07:37:00,2026-01-07 07:37:00,Queens,LITTLE RICHIE BUS SERVICE,31-45 Min,0,No,No,No,2026-01-07 07:37:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2060658,General Ed PM Run,914,X9223,Heavy Traffic,"07017,07031",2026-02-11 13:58:00,2026-02-11 13:59:00,Bronx,PIONEER TRANSPORTATION CORP,31-45 Min,0,No,No,No,2026-02-11 13:59:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2061938,General Ed AM Run,662,X2233,Weather Conditions,"11255,11378",2026-02-24 06:50:00,2026-02-24 06:52:00,Bronx,PIONEER TRANSPORTATION CORP,46-60 Min,0,No,No,No,2026-02-24 06:52:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2049160,Special Ed AM Run,2632,N549,Heavy Traffic,"06048,06109,06187,06189",2026-01-21 07:00:00,2026-01-21 07:11:00,Bronx,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2026-01-21 07:11:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2054310,Special Ed AM Run,5813,X315,Heavy Traffic,"10024,10081,10664",2026-01-30 07:52:00,2026-01-30 07:53:00,Bronx,NYC SCHOOL BUS UMBRELLA SERVICES,31-45 Min,4,No,No,No,2026-01-30 07:53:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2055500,Special Ed AM Run,11517,Q006,Heavy Traffic,26177,2026-02-02 07:45:00,2026-02-02 10:27:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,15,Yes,Yes,No,2026-02-02 10:27:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2053295,Pre-K/EI,9374,SWW#4,Weather Conditions,C998,2026-01-29 07:52:00,2026-01-29 07:53:00,Bronx,"G.V.C., LTD.",16-30 Min,12,Yes,Yes,No,2026-01-29 07:53:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2069059,General Ed AM Run,2330,Q2538,Mechanical Problem,25720,2026-03-12 06:50:00,2026-03-12 06:59:00,Queens,LORISSA BUS SERVICE INC.,,0,No,No,No,2026-03-12 06:59:00,,1900-01-01 00:00:00,Breakdown,School-Age
2025-2026,2070341,Special Ed AM Run,74606,X353,Heavy Traffic,"10091,10206,10363",2026-03-17 06:01:00,2026-03-17 06:05:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,0,Yes,Yes,No,2026-03-17 06:05:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2061203,General Ed Field Trip,41805,Q2902,Accident,"29132,29147,29181",2026-02-12 09:30:00,2026-02-12 09:47:00,Queens,ALLIED TRANSIT CORP.,31-45 Min,0,No,No,No,2026-02-12 09:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2059561,General Ed AM Run,4100,Q2643,Mechanical Problem,26041,2026-02-10 06:48:00,2026-02-10 06:50:00,Queens,QUALITY TRANSPORTATION CORP.,,0,No,No,No,2026-02-10 06:50:00,,1900-01-01 00:00:00,Breakdown,School-Age
2025-2026,2064352,Special Ed AM Run,19009,K269,Heavy Traffic,"18219,18465,18581",2026-02-27 05:10:00,2026-02-27 05:16:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2026-02-27 05:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2062401,Special Ed AM Run,1517,Y161,Weather Conditions,"09022,09053,09055",2026-02-24 08:00:00,2026-02-24 08:12:00,Bronx,"DON THOMAS BUSES, INC. (B2321)",31-45 Min,0,Yes,Yes,No,2026-02-24 08:12:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2063525,Special Ed AM Run,1210,K196,Weather Conditions,"19011,19036,19346,19654",2026-02-25 07:45:00,2026-02-25 10:19:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2026-02-25 10:19:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2070928,Pre-K/EI,PL1820,BX3,Heavy Traffic,S535,2026-03-18 06:50:00,2026-03-18 06:52:00,Bronx,PHILLIPS BUS SERVICE,46-60 Min,3,Yes,Yes,Yes,2026-03-18 06:52:00,,2026-03-18 06:53:25,Running Late,Pre-K
2013-2014,1113145,Pre-K/EI,9320,10,Other,C626,2014-01-27 15:59:00,2014-01-27 16:00:00,Bronx,"G.V.C., LTD.",10-15 mins,0,Yes,Yes,No,2014-01-27 16:00:00,,2014-01-27 16:08:27,Running Late,Pre-K
2015-2016,1238002,Pre-K/EI,342,4,Heavy Traffic,C465,2015-12-21 08:10:00,2015-12-21 08:16:00,Bronx,"G.V.C., LTD.",20 MINS,12,Yes,Yes,No,2015-12-21 08:16:00,,2015-12-21 08:16:07,Running Late,Pre-K
2017-2018,1383412,Pre-K/EI,519,21,Other,C814,2017-11-02 13:45:00,2017-11-02 15:59:00,Bronx,"G.V.C., LTD.",,6,Yes,Yes,No,2017-11-02 15:59:00,,1900-01-01 00:00:00,Breakdown,Pre-K
2019-2020,1603855,Special Ed PM Run,543,P640,Other,30511,2019-11-22 14:37:00,2019-11-22 14:38:00,Queens,LOGAN BUS COMPANY INC.,31-45 Min,0,Yes,Yes,No,2019-11-22 14:38:00,,1900-01-01 00:00:00,Running Late,School-Age
2022-2023,1820291,Pre-K/EI,1910,UCP3,Other,C522,2023-05-08 06:20:00,2023-05-08 06:31:00,Bronx,PHILLIPS BUS SERVICE,31-45 Min,3,Yes,Yes,Yes,2023-05-08 06:31:00,,1900-01-01 00:00:00,Running Late,Pre-K
1999-2000,780876,Project Read Field Trip,771,K513,,,1999-10-12 00:00:00,1999-10-12 00:00:00,,,,0,Yes,Yes,No,1999-10-12 00:00:00,,1999-10-12 00:00:00,Running Late,School-Age
1999-2000,780930,Special Ed PM Run,010011,K015,,,2000-02-02 00:00:00,2000-02-02 00:00:00,,,,0,Yes,Yes,No,2000-02-02 00:00:00,,2000-02-02 00:00:00,Breakdown,School-Age
1999-2000,781198,Project Read Field Trip,019003,K802,,,2000-06-22 00:00:00,2000-06-22 00:00:00,,,,0,Yes,Yes,No,2000-06-22 00:00:00,,2000-06-22 00:00:00,Running Late,School-Age
1999-2000,781511,Project Read Field Trip,436,Q520,,,2000-06-05 00:00:00,2000-06-05 00:00:00,,,,0,Yes,Yes,No,2000-06-05 00:00:00,,2000-06-05 00:00:00,Running Late,School-Age
1999-2000,781638,Project Read AM Run,719D,K511,,,2000-05-26 00:00:00,2000-05-26 00:00:00,,,,0,Yes,Yes,No,2000-05-26 00:00:00,,2000-05-26 00:00:00,Running Late,School-Age
1999-2000,781774,Project Read AM Run,505168,Q510,,,2000-05-03 00:00:00,2000-05-03 00:00:00,,,,0,Yes,Yes,No,2000-05-03 00:00:00,,2000-05-03 00:00:00,Running Late,School-Age
1999-2000,781902,Project Read Field Trip,1568,M711,,,2000-06-01 00:00:00,2000-06-01 00:00:00,,,,0,Yes,Yes,No,2000-06-01 00:00:00,,2000-06-01 00:00:00,Running Late,School-Age
1999-2000,782168,Project Read AM Run,85,Q863,,,1999-12-16 00:00:00,1999-12-16 00:00:00,,,,0,Yes,Yes,No,1999-12-16 00:00:00,,1999-12-16 00:00:00,Running Late,School-Age
1999-2000,782295,Project Read Field Trip,2020,K1522,,,1999-12-17 00:00:00,1999-12-17 00:00:00,,,,0,Yes,Yes,No,1999-12-17 00:00:00,,1999-12-17 00:00:00,Running Late,School-Age
1999-2000,782422,Special Ed PM Run,753,K953,,,1999-10-08 00:00:00,1999-10-08 00:00:00,,,,0,Yes,Yes,No,1999-10-08 00:00:00,,1999-10-08 00:00:00,Breakdown,School-Age
1999-2000,782549,Special Ed PM Run,010009,K109,,,2000-01-31 00:00:00,2000-01-31 00:00:00,,,,0,Yes,Yes,No,2000-01-31 00:00:00,,2000-01-31 00:00:00,Breakdown,School-Age
1999-2000,782676,Project Read AM Run,80,M835,,,2000-01-21 00:00:00,2000-01-21 00:00:00,,,,0,Yes,Yes,No,2000-01-21 00:00:00,,2000-01-21 00:00:00,Running Late,School-Age
1999-2000,782803,Project Read AM Run,399,X212,,,1999-11-23 00:00:00,1999-11-23 00:00:00,,,,0,Yes,Yes,No,1999-11-23 00:00:00,,1999-11-23 00:00:00,Running Late,School-Age
1999-2000,782930,Project Read AM Run,9701,K982,,,1999-12-13 00:00:00,1999-12-13 00:00:00,,,,0,Yes,Yes,No,1999-12-13 00:00:00,,1999-12-13 00:00:00,Running Late,School-Age
1999-2000,783057,Special Ed PM Run,981,Q641,,,1999-11-24 00:00:00,1999-11-24 00:00:00,,,,0,Yes,Yes,No,1999-11-24 00:00:00,,1999-11-24 00:00:00,Breakdown,School-Age
1999-2000,783187,Project Read Field Trip,464,Q297,,,1999-09-09 00:00:00,1999-09-09 00:00:00,,,,0,Yes,Yes,No,1999-09-09 00:00:00,,1999-09-09 00:00:00,Running Late,School-Age
1999-2000,783314,Special Ed PM Run,472,K027,,,2000-02-04 00:00:00,2000-02-04 00:00:00,,,,0,Yes,Yes,No,2000-02-04 00:00:00,,2000-02-04 00:00:00,Breakdown,School-Age
1999-2000,783441,Project Read Field Trip,136,Q760,,,2000-02-15 00:00:00,2000-02-15 00:00:00,,,,0,Yes,Yes,No,2000-02-15 00:00:00,,2000-02-15 00:00:00,Running Late,School-Age
1999-2000,783570,Special Ed PM Run,8846,K050,,,2000-03-13 00:00:00,2000-03-13 00:00:00,,,,0,Yes,Yes,No,2000-03-13 00:00:00,,2000-03-13 00:00:00,Breakdown,School-Age
1999-2000,783699,Project Read AM Run,80,Q995,,,2000-02-28 00:00:00,2000-02-28 00:00:00,,,,0,Yes,Yes,No,2000-02-28 00:00:00,,2000-02-28 00:00:00,Running Late,School-Age
1999-2000,783826,Special Ed PM Run,711a,K603,,,2000-03-06 00:00:00,2000-03-06 00:00:00,,,,0,Yes,Yes,No,2000-03-06 00:00:00,,2000-03-06 00:00:00,Breakdown,School-Age
1999-2000,783953,Special Ed PM Run,703D,M930,,,2000-03-16 00:00:00,2000-03-16 00:00:00,,,,0,Yes,Yes,No,2000-03-16 00:00:00,,2000-03-16 00:00:00,Breakdown,School-Age
1999-2000,784080,Project Read Field Trip,9419,X255,,,2000-05-01 00:00:00,2000-05-01 00:00:00,,,,0,Yes,Yes,No,2000-05-01 00:00:00,,2000-05-01 00:00:00,Running Late,School-Age
1999-2000,784207,Project Read AM Run,345,X245,,,2000-04-04 00:00:00,2000-04-04 00:00:00,,,,0,Yes,Yes,No,2000-04-04 00:00:00,,2000-04-04 00:00:00,Running Late,School-Age
1999-2000,784334,Special Ed PM Run,623,K286,,,2000-04-14 00:00:00,2000-04-14 00:00:00,,,,0,Yes,Yes,No,2000-04-14 00:00:00,,2000-04-14 00:00:00,Breakdown,School-Age
2000-2001,781040,Special Ed AM Run,3060D,Q388,,"26704,26710",2000-10-13 07:04:00,2000-10-13 07:05:00,Queens,LORINDA ENT. LTD.,40 MIN,0,Yes,Yes,Yes,2000-10-13 07:05:00,,2000-10-13 12:03:36,Running Late,School-Age
2000-2001,781358,Project Read AM Run,018097,J701,,,2000-07-27 00:00:00,2000-07-27 00:00:00,,,,0,Yes,Yes,No,2000-07-27 00:00:00,,2000-07-27 00:00:00,Running Late,School-Age
2000-2001,781970,Special Ed PM Run,741,M539,,,2000-09-07 00:00:00,2000-09-07 00:00:00,,,,0,Yes,Yes,No,2000-09-07 00:00:00,,2000-09-07 00:00:00,Breakdown,School-Age
2000-2001,784502,Special Ed AM Run,685,X241,,10024,2000-10-16 14:00:00,2000-10-16 15:00:00,Bronx,LOGAN BUS COMPANY INC.,,0,No,Yes,Yes,2000-10-16 15:00:00,,2000-10-16 15:47:22,Breakdown,School-Age
2001-2002,784630,Special Ed AM Run,2029,K754,,21726,2001-09-14 08:15:00,2001-09-14 08:30:00,Brooklyn,"UNITED TRANSIT, INC.",45 MIN.,2,Yes,Yes,Yes,2001-09-14 08:30:00,,2001-09-17 08:18:02,Running Late,School-Age
2001-2002,784757,Special Ed AM Run,507,Q462,,"30230,30461,30740",2001-09-26 07:47:00,2001-09-26 07:00:00,Queens,CITYWIDE TRANSIT INC.,,7,Yes,Yes,Yes,2001-09-26 07:00:00,,2001-09-28 10:44:16,Breakdown,School-Age
2001-2002,784887,General Ed AM Run,1239,M1144,,02841,2001-10-03 07:45:00,2001-10-03 08:07:00,Manhattan,"AMBOY BUS COMPANY, INC",25 MIN.,0,Yes,Yes,Yes,2001-10-03 08:07:00,,2001-10-03 12:08:47,Running Late,School-Age
2001-2002,785016,Special Ed AM Run,1798,X423,,12084,2001-10-15 07:53:00,2001-10-15 08:05:00,Bronx,"AMBOY BUS COMPANY, INC",,1,Yes,Yes,Yes,2001-10-15 08:05:00,,2001-10-15 13:06:08,Breakdown,School-Age
2001-2002,785145,Special Ed AM Run,752D,K993,,23460,2001-10-26 08:04:00,2001-10-26 08:06:00,Brooklyn,JO-LO BUS COMPANY INC.,,2,Yes,Yes,Yes,2001-10-26 08:06:00,,2001-10-26 09:16:07,Breakdown,School-Age
2001-2002,785272,Special Ed AM Run,58,M749,,"04083,04117,04146,04475",2001-11-08 06:45:00,2001-11-08 07:12:00,Manhattan,ALL AMERICAN SCHOOL BUS C,30-40 MIN.,0,Yes,Yes,Yes,2001-11-08 07:12:00,,2001-11-08 10:53:24,Running Late,School-Age
2001-2002,785401,General Ed AM Run,1104,M1003,,"04807,02878,02894",2001-11-26 06:45:00,2001-11-26 07:06:00,Manhattan,"AMBOY BUS COMPANY, INC",,0,Yes,Yes,Yes,2001-11-26 07:06:00,,2001-11-26 10:12:17,Breakdown,School-Age
2001-2002,785528,Special Ed AM Run,9023,Q296,,27416,2001-12-05 06:45:00,2001-12-05 08:39:00,Queens,"AMBOY BUS COMPANY, INC",25 MIN.,3,Yes,Yes,Yes,2001-12-05 08:39:00,,2001-12-05 12:17:24,Running Late,School-Age
2001-2002,785656,Special Ed AM Run,8891,Q162,,25200,2001-12-17 07:45:00,2001-12-17 08:20:00,Queens,"AMBOY BUS COMPANY, INC",,6,Yes,Yes,Yes,2001-12-17 08:20:00,,2001-12-17 12:58:38,Breakdown,School-Age
2001-2002,785784,Special Ed PM Run,354,Q195,,"29037,29038,29156",2002-01-04 14:35:00,2002-01-04 14:54:00,Queens,LOGAN BUS COMPANY INC.,,0,Yes,Yes,Yes,2002-01-04 14:54:00,,2002-01-04 18:02:21,Breakdown,School-Age
2001-2002,785911,Special Ed PM Run,2074,K786,,15465,2002-01-15 14:55:00,2002-01-15 15:30:00,Brooklyn,"UNITED TRANSIT, INC.",40 MIN.,0,Yes,Yes,Yes,2002-01-15 15:30:00,,2002-01-15 17:42:38,Running Late,School-Age
2001-2002,786038,Special Ed Field Trip,95110,K242,,"22203,22312,22490",2002-01-28 09:27:00,2002-01-28 09:47:00,Brooklyn,"BORO TRANSIT, INC.",,0,Yes,Yes,Yes,2002-01-28 09:47:00,,2002-01-28 10:24:08,Breakdown,School-Age
2001-2002,786167,Special Ed AM Run,30141,M430,,"04475,04117,04146",2002-02-06 06:45:00,2002-02-06 08:27:00,Manhattan,CONSOLIDATED BUS TRANS. I,,0,Yes,Yes,Yes,2002-02-06 08:27:00,,2002-02-06 11:20:06,Breakdown,School-Age
2001-2002,786295,Special Ed AM Run,9838,X162,,"10003,10085",2002-02-14 07:00:00,2002-02-14 07:25:00,Bronx,CONSOLIDATED BUS TRANS. I,,1,Yes,Yes,Yes,2002-02-14 07:25:00,,2002-02-14 12:02:42,Breakdown,School-Age
2001-2002,786422,General Ed AM Run,1275,Q2552,,"25184,25193,25713",2002-02-28 07:20:00,2002-02-28 07:23:00,Queens,LORISSA BUS SERVICE INC.,,0,Yes,Yes,Yes,2002-02-28 07:23:00,,2002-02-28 11:57:28,Breakdown,School-Age
2001-2002,786550,Special Ed PM Run,018019,Q020,,"24012,24073,24229",2002-03-07 14:30:00,2002-03-07 14:49:00,Queens,"AMBOY BUS COMPANY, INC",,0,Yes,Yes,Yes,2002-03-07 14:49:00,,2002-03-07 18:10:06,Breakdown,School-Age
2001-2002,786677,Special Ed AM Run,572D,Q539,,"25129,25802,25927",2002-03-18 07:45:00,2002-03-18 08:20:00,Queens,LITTLE RICHIE BUS SERVICE,,0,Yes,Yes,Yes,2002-03-18 08:20:00,,2002-03-18 12:44:21,Breakdown,School-Age
2001-2002,786803,Special Ed PM Run,37019,X433,,12450,2002-03-26 14:25:00,2002-03-26 14:32:00,Bronx,CONSOLIDATED BUS TRANS. I,,0,Yes,Yes,Yes,2002-03-26 14:32:00,,2002-03-26 17:41:00,Breakdown,School-Age
2001-2002,786932,General Ed AM Run,9136,K2037,,"20229,20180,20200",2002-04-15 07:45:00,2002-04-15 07:53:00,Brooklyn,"BORO TRANSIT, INC.",,10,Yes,Yes,Yes,2002-04-15 07:53:00,,2002-04-15 10:06:29,Breakdown,School-Age
2001-2002,787062,Special Ed AM Run,10072,X152,,12047,2002-04-22 07:15:00,2002-04-22 09:40:00,Bronx,"AMBOY BUS COMPANY, INC",,0,Yes,Yes,Yes,2002-04-22 09:40:00,,2002-04-22 13:03:31,Breakdown,School-Age
